Country_Code,Country_Name,Year,Group,Region,Energy_Import_Dependence_pct,LPI_Overall,LSCI,Port_Capacity_Index_0_1,Rail_Capacity_Index_0_1,Pipeline_Connectivity_Index_0_1,Corridor_Access_Index_0_1,Trade_Diversification_Index_0_1,CCI_Equal_Weighted,CCI_Normalized_0_1,Data_Quality,Source_Notes
TUR,Türkiye,2021,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2021,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2021,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2021,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2021,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2021,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2021,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2021,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2021,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2021,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2021,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2021,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2021,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2021,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2021,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
TUR,Türkiye,2022,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2022,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2022,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2022,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2022,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2022,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2022,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2022,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2022,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2022,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2022,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2022,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2022,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2022,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2022,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
TUR,Türkiye,2023,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2023,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2023,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2023,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2023,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2023,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2023,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2023,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2023,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2023,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2023,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2023,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2023,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2023,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2023,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
TUR,Türkiye,2024,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2024,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2024,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2024,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2024,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2024,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2024,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2024,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2024,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2024,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2024,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2024,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2024,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2024,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2024,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
TUR,Türkiye,2025,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2025,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2025,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2025,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2025,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2025,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2025,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2025,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2025,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2025,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2025,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2025,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2025,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2025,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2025,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
TUR,Türkiye,2026,Energy importer / corridor hub,Europe-Asia-Middle East,,,,,,,,,,,,
CHN,China,2026,Major energy importer,East Asia,,,,,,,,,,,,
IND,India,2026,Major energy importer,South Asia,,,,,,,,,,,,
JPN,Japan,2026,Major energy importer,East Asia,,,,,,,,,,,,
KOR,South Korea,2026,Major energy importer,East Asia,,,,,,,,,,,,
ISR,Israel,2026,Regional vulnerable country,Middle East,,,,,,,,,,,,
JOR,Jordan,2026,Regional vulnerable country,Middle East,,,,,,,,,,,,
EGY,Egypt,2026,Regional transit / Suez country,MENA,,,,,,,,,,,,
PAK,Pakistan,2026,Regional vulnerable country,South Asia,,,,,,,,,,,,
SAU,Saudi Arabia,2026,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
ARE,United Arab Emirates,2026,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
QAT,Qatar,2026,LNG exporter / Gulf,Gulf,,,,,,,,,,,,
KWT,Kuwait,2026,Energy exporter / Gulf,Gulf,,,,,,,,,,,,
IRQ,Iraq,2026,Energy exporter / Gulf-adjacent,Middle East,,,,,,,,,,,,
OMN,Oman,2026,Hormuz-adjacent / Gulf,Gulf,,,,,,,,,,,,
